,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
DVSC Debrecen,Hun,4.55,2.55,0.45,2.1,0.675,10.325
MSK Zilina,Svk,2,4.6,0.975,1.3,1.325,10.2
Omonia Nicosia,Cyp,1.85,2.125,3.325,1.8,1.05,10.15
FC Thun,Sui,1.15,1.18,2.7,1.675,3.44,10.145
Hajduk Split,Cro,1.6,2.825,1.75,1.875,1.875,9.925
ADO Den Haag,Ned,1.8832,2.2332,3.72,0.8428,1.1832,9.862
Atromitos FC,Gre,1.58,1.52,1.52,2.38,2.72,9.72
Tavria Simferopol,Ukr,1.16,3.5166,1.55,1.9,1.5666,9.693
Grasshoppers Zürich,Sui,1.15,2.68,1.2,1.675,2.94,9.645
FC Sion,Sui,2.65,1.18,2.7,1.675,1.44,9.645
Otelul Galati,Rom,1.2166,0.6332,4.8666,1.36,1.375,9.451
Russia,,1.2332,2.1832,1.95,1.95,2.0832,9.399
Bnei Yehuda,Isr,2.95,1.425,2.2,1.65,1.15,9.375
FK Jablonec,Cze,0.82,1.7,2.05,1.7,3.1,9.37
Molde FK,Nor,0.42,1.475,0.46,4.98,2.02,9.355
Red Star Belgrade,Srb,2.1,1.7,1.925,2.1,1.5,9.325
Arsenal Kiev,Ukr,1.16,2.0166,1.55,2.9,1.5666,9.193
Anorthosis Famagusta,Cyp,1.35,2.125,2.825,1.8,1.05,9.15
FC Luzern,Sui,1.15,2.18,1.2,3.175,1.44,9.145
CSKA Sofia,Bul,2.625,2.925,1.8,0.65,1.125,9.125
NK Rijeka,Cro,1.6,0.825,0.75,0.875,4.875,8.925
Slavia Praha,Cze,3.82,0.7,1.05,1.7,1.6,8.87
Netherlands,,1.8832,2.2332,2.72,0.8428,1.1832,8.862
Helsingborg IF,Swe,1.5,0.52,2.08,4.025,0.64,8.765
KSC Lokeren,Bel,1.74,0.92,2.02,2.8,1.28,8.76
Asteras Tripolis,Gre,1.58,1.52,1.52,1.88,2.22,8.72
Slovan Bratislava,Svk,2,2.1,2.475,0.8,1.325,8.7
