,,11월 12일,12월 13일,13/14,14/15,15/16,ranking
Rudar Pljevlja,Mon,0.6,0.525,0.75,0.15,1.2,3.225
FK Baku,Azb,0.275,0.85,0.5,0.725,0.875,3.225
Olimpik Baku,Azb,0.525,0.6,0.5,0.725,0.875,3.225
Sutjeska Niksic,Mon,0.1,0.275,1.25,1.15,0.45,3.225
HB Torshavn,Far,1.1,0.1,0.425,1.275,0.325,3.225
Zrinjski Mostar,Bos,0.225,0.25,0.8,1.35,0.55,3.175
Cherno More Varna,Bul,0.3,0.15,1.125,0.85,0.7,3.125
Nova Gorica,Slo,0.45,0.65,0.525,1.3,0.2,3.125
Lokomotiv Plovdiv,Bul,0.3,0.65,1.125,0.85,0.2,3.125
Chikhura Sachkhere,Geo,0.575,0.3,0.875,1.25,0.125,3.125
Olimpi Rustavi,Geo,1.575,0.8,0.375,0.25,0.125,3.125
Zhetysu Taldykorgan,Kaz,0.325,0.525,0.625,0.675,0.925,3.075
Shirak Gyumri,Arm,0.025,0.675,1.225,0.325,0.825,3.075
KuPS Kuopio,Fin,0.8,1.4,0.1,0.48,0.2,2.98
Buducnost Podgorica,Mon,0.35,1.275,0.25,0.65,0.45,2.975
Diósgyöri Miskolc,Hun,0.45,0.6,0.175,1.425,0.325,2.975
Honvéd Budapest,Hun,0.45,1.1,0.675,0.425,0.325,2.975
Paksi FC,Hun,1.45,0.6,0.175,0.425,0.325,2.975
Azerbaijan,,0.275,0.6,0.5,0.725,0.875,2.975
Birkirkara,Mlt,0.4166,0.425,1.175,0.275,0.675,2.966
