,,10월 11일,11월 12일,12월 13일,13/14,14/15,ranking
Cukaricki Belgrade,Srb,0.7,0.425,0.6,0.5,1.05,3.275
FK Rad Belgrade,Srb,0.7,0.925,0.6,0.5,0.55,3.275
FK Baku,Azb,0.9,0.275,0.85,0.5,0.725,3.25
FK Borac Banja Luka,Bos,0.875,1.225,0.5,0.3,0.35,3.25
NK Celje,Slo,0.3,0.45,0.9,0.775,0.8,3.225
Diósgyöri Miskolc,Hun,0.55,0.45,0.6,0.175,1.425,3.2
Ferencváros,Hun,0.55,0.95,0.6,0.175,0.925,3.2
Kalju Nomme,Est,0.05,0.325,0.325,1.7,0.8,3.2
Honvéd Budapest,Hun,0.55,0.45,1.1,0.675,0.425,3.2
Paksi FC,Hun,0.55,1.45,0.6,0.175,0.425,3.2
Flora Tallinn,Est,0.3,1.075,1.075,0.45,0.3,3.2
Vardar Skopje,Mac,0.275,0.325,1.25,1.1,0.225,3.175
KuPS Kuopio,Fin,0.36,0.8,1.4,0.1,0.48,3.14
Sutjeska Niksic,Mon,0.35,0.1,0.275,1.25,1.15,3.125
Zeta Golubovci,Mon,0.6,0.35,1.775,0.25,0.15,3.125
Stjarnan FC,Isl,0.075,0.275,0.25,0.5,2,3.1
Skonto Riga,Lat,0.35,1.125,0.75,0.825,0.05,3.1
Metalurgs Liepaja,Lat,1.1,0.625,0.75,0.575,0.05,3.1
