,,12월 13일,13/14,14/15,15/16,16/17,ranking
Kapaz Ganja,Azb,0.6,0.5,0.725,0.875,1.35,4.05
Zrinjski Mostar,Bos,0.25,0.8,1.35,0.55,1.1,4.05
Ordabasy Shymkent,Kaz,0.775,0.625,0.675,1.175,0.8,4.05
Levadia Tallinn,Est,0.575,0.7,1.3,0.7,0.775,4.05
Belarus,,0.9,0.35,1.1,1.025,0.6,3.975
Poland,,0.5,0.625,0.95,1.1,0.775,3.95
Sweden,,1.025,0.64,0.78,0.95,0.55,3.945
Litex Lovech,Bul,0.15,1.125,1.35,0.45,0.85,3.925
Ferencváros,Hun,0.6,0.175,0.925,0.825,1.375,3.9
Crusaders Belfast,Nir,0.45,0.425,0.775,1.15,1.1,3.9
Rabotnicki Skopje,Mac,0.25,0.1,1.225,1.8,0.5,3.875
Israel,,0.65,1.15,0.275,0.45,1.35,3.875
Birkirkara,Mlt,0.425,1.175,0.275,0.675,1.25,3.8
FK Baku,Azb,0.85,0.5,0.725,0.875,0.85,3.8
Scotland,,0.86,0.65,0.8,0.6,0.875,3.785
Shirak Gyumri,Arm,0.675,1.225,0.325,0.825,0.725,3.775
Cyprus,,0.8,0.55,0.66,0.6,1.1,3.71
Cherno More Varna,Bul,0.15,1.125,0.85,0.7,0.85,3.675
Lokomotiv Plovdiv,Bul,0.65,1.125,0.85,0.2,0.85,3.675
Norway,,0.98,0.52,0.44,1.45,0.275,3.665
Cliftonville,Nir,0.45,1.175,1.275,0.15,0.6,3.65
Dacia Chisinau,Mol,0.95,1.175,0.35,0.75,0.425,3.65
Linfield Belfast,Nir,1.2,0.675,0.775,0.65,0.35,3.65
NK Koper,Slo,0.65,0.525,1.3,0.7,0.45,3.625
Ekranas Panevezys,Lit,1.725,1.25,0.35,0.15,0.1,3.575
Mladost Podgorica,Mon,0.275,1.25,0.15,0.7,1.175,3.55
Irtysh Pavlodar,Kaz,0.275,1.125,0.675,0.925,0.55,3.55
Siroki Brijeg,Bos,0.75,1.3,0.85,0.3,0.35,3.55
Azerbaijan,,0.6,0.5,0.725,0.875,0.85,3.55
CS Fola Esch,Lux,0.275,1.3,0.35,1.15,0.4,3.475
Differdange 03,Lux,0.775,1.3,0.35,0.65,0.4,3.475
Slavia Sofia,Bul,0.15,1.125,0.85,0.2,1.1,3.425
ETO Györ,Hun,0.6,1.175,0.925,0.325,0.375,3.4
Shkendija Tetovo,Mac,0.5,0.1,0.475,0.55,1.75,3.375
Nova Gorica,Slo,0.65,0.525,1.3,0.2,0.7,3.375
NK Celje,Slo,0.9,0.775,0.8,0.45,0.45,3.375
FK Senica,Svk,0.8,0.825,0.55,0.75,0.425,3.35
Sligo Rovers,Irl,0.7,1.05,0.9,0.14,0.525,3.315
Buducnost Podgorica,Mon,1.275,0.25,0.65,0.45,0.675,3.3
Zhetysu Taldykorgan,Kaz,0.525,0.625,0.675,0.925,0.55,3.3
Sutjeska Niksic,Mon,0.275,1.25,1.15,0.45,0.175,3.3
Pyunik Yerevan,Arm,0.425,0.725,0.325,1.325,0.475,3.275
Bulgaria,,0.15,1.125,0.85,0.2,0.85,3.175
Partizani Tirana,Alb,0.15,0.4,0.175,0.675,1.675,3.075
Serbia,,0.6,0.5,0.55,0.85,0.575,3.075
Shamrock Rovers,Irl,1.2,0.05,0.4,0.64,0.775,3.065
Flora Tallinn,Est,1.075,0.45,0.3,0.45,0.775,3.05
Rudar Pljevlja,Mon,0.525,0.75,0.15,1.2,0.425,3.05
Kazakhstan,,0.275,0.625,0.675,0.925,0.55,3.05
Chikhura Sachkhere,Geo,0.3,0.875,1.25,0.125,0.475,3.025
Lincoln Red Imps,Gib,,,0.55,1.15,1.3,3
FK Jelgava,Lat,0.25,0.325,0.3,0.825,1.275,2.975
