"","X","home_shot","away_shot","home_possession","away_possession","home_pass_success","away_pass_success","home_dribbles","away_dribbles","home_aerials_won","away_aerials_won","home_tackles","away_tackles","home_corners","away_corners","home_dispossessed","away_dispossessed","home_missing_player","away_missing_player","home","away","half_home_score","half_away_score","full_home_score","full_away_score","kick_off","day","date","matchup_home_goals","matchup_away_goals","matchup_home_wins","matchup_draw","matchup_away_wins","home_total_att","away_total_att","home_open_att","away_open_att","home_set_att","away_set_att","home_counter_att","away_counter_att","home_pk_att","away_pk_att","home_own_att","away_own_att","home_total_passes","away_total_passes","home_crosses_passes","away_crosses_passes","home_long_balls","away_long_balls","home_short_passes","away_short_passes","date_no","home_last_5_points","away_last_5_points","home_last_5_goals","away_last_5_goals","home_last_5_possession","away_last_5_possession","home_last_5_conceded","away_last_5_conceded","home_last_5_passes","away_last_5_passes","home_last_5_shot","away_last_5_shot","season","home_uefa","away_uefa"
"194",281,18,6,54.8,45.2,75,70,6,8,24,24,7,11,4,3,7,4,7,1,"Osasuna","SD Huesca",0,1,1,1,"20:00","Fri","20-11-20",5,5,40,20,40,18,6,13,6,5,0,0,0,0,0,0,0,524,434,32,17,79,85,413,332,18586,7,3,4,5,40.92,52.4,4,11,1784,2521,46,60,"LIGA2021",20.456,20.456
"195",120,9,13,45.9,54.1,85,89,10,9,8,11,13,18,8,8,8,4,7,4,"Atletico Madrid","Barcelona",1,0,1,0,"20:00","Sat","21-11-20",6,9,17,33,50,9,13,8,10,1,3,0,0,0,0,0,0,541,638,16,19,68,47,457,572,18587,13,5,11,8,53,63.66,1,8,2855,3407,63,72,"LIGA2021",20.456,148.456
"196",121,15,10,57.3,42.7,85,79,16,7,20,19,9,9,3,2,5,3,4,3,"Sevilla","Celta Vigo",2,2,4,2,"17:30","Sat","21-11-20",6,10,33,17,50,15,10,8,9,6,0,1,1,0,0,0,0,533,397,29,8,85,47,418,341,18587,4,2,3,3,57.3,49.7,5,10,2677,2269,58,58,"LIGA2021",122.456,39.456
"197",289,13,6,47.1,52.9,89,89,10,13,4,6,21,10,4,2,6,14,3,8,"Villarreal","Real Madrid",0,1,1,1,"15:15","Sat","21-11-20",10,11,17,50,33,13,6,11,5,1,1,0,0,1,0,0,0,538,606,25,11,37,54,476,540,18587,11,9,7,10,59.9,60.24,2,7,2975,3070,49,71,"LIGA2021",76.456,154.456
"198",7,13,11,43.5,56.5,82,85,9,10,7,7,17,25,5,4,15,11,4,3,"Levante","Elche",1,0,1,1,"13:00","Sat","21-11-20",7,2,67,17,17,13,11,11,8,2,3,0,0,0,0,0,0,391,509,17,18,37,52,337,439,18587,3,8,3,6,59.02,48.64,7,5,2452,2444,63,24,"LIGA2021",20.456,20.456
"199",16,16,9,59.5,40.5,75,64,9,11,23,25,10,12,5,3,6,6,5,3,"Granada","Real Valladolid",0,1,1,3,"17:30","Sun","22-11-20",7,8,50,17,33,16,9,12,6,4,2,0,1,0,0,0,0,435,296,30,13,85,66,320,216,18588,8,4,4,5,39.92,40.3,4,9,1518,1651,38,37,"LIGA2021",20.456,20.456
"200",42,2,14,31.9,68.1,63,83,8,6,16,15,27,13,1,6,8,14,7,5,"Cadiz","Real Sociedad",0,0,0,1,"15:15","Sun","22-11-20",6,13,0,50,50,2,14,1,11,1,3,0,0,0,0,0,0,263,559,12,22,55,56,196,479,18588,8,15,4,16,29.92,55.46,5,2,1414,2428,49,63,"LIGA2021",20.456,29.456
"201",172,13,13,33.9,66.1,68,84,5,8,13,11,9,7,4,5,4,3,3,3,"Deportivo Alaves","Valencia",2,0,2,2,"20:00","Sun","22-11-20",8,11,17,17,67,13,13,5,7,7,5,0,1,1,0,0,0,268,517,15,17,54,68,199,431,18588,8,4,5,8,38.46,42.3,4,9,1658,1965,45,46,"LIGA2021",20.456,74.456
"202",242,14,8,51.5,48.5,59,54,18,5,32,27,9,8,3,4,3,6,1,0,"Eibar","Getafe",0,0,0,0,"13:00","Sun","22-11-20",3,7,0,50,50,14,8,9,7,5,1,0,0,0,0,0,0,334,315,22,21,103,87,209,207,18588,8,4,4,4,48.54,49.08,4,9,2038,1853,41,53,"LIGA2021",20.456,31.456
"203",229,14,7,40.1,59.9,77,85,9,8,16,10,22,20,6,3,13,8,6,6,"Athletic Bilbao","Real Betis",2,0,4,0,"20:00","Mon","23-11-20",10,5,67,17,17,15,7,11,6,2,1,1,0,0,0,1,0,368,550,18,16,56,57,294,476,18589,6,6,5,7,57.42,53.82,5,11,2313,2703,68,65,"LIGA2021",56.456,30.456
"204",168,10,10,35,65,67,80,7,10,13,14,16,13,3,11,7,10,1,3,"Real Valladolid","Levante",0,0,1,1,"20:00","Fri","27-11-20",4,12,17,17,67,10,10,8,7,1,2,1,0,0,1,0,0,276,508,17,27,73,68,186,413,18593,7,4,7,4,37.82,58.72,8,6,1579,2396,37,65,"LIGA2021",20.456,20.456
